TH,Eskualde-Kodea,Udalherri-Kodea,EREMU,Errolda,Hautesleak,Baliogabeak,Baleko,Zuriak,Hautagaien B.,Abstentzioa,EAJ-PNV,PP,EB-B,PH,EK-PCPE,POSI,UCE,PSE-EE/PSOE,PACMA/ATTKA,PUM+J,PFYV,UPYD,EQUO,IU-LV,EB-AZ,ONGI ETORRI,EH BILDU,PYC,HARTOS.ORG
BIZKAIA,2,087,TRUCIOS-TURTZIOZ,463,357,3,354,4,350,106,236,14,0,0,0,0,0,22,2,0,0,2,0,2,3,,68,,1
BIZKAIA,2,090,BALMASEDA,6146,4414,88,4326,44,4282,1732,2135,245,65,3,2,4,0,841,18,1,7,42,20,89,34,,759,,17
BIZKAIA,2,096,ZALLA,6658,4828,96,4732,61,4671,1830,2599,220,110,5,4,4,5,608,17,7,9,52,17,61,16,,924,,13
BIZKAIA,2,912,ALONSOTEGI,2310,1753,24,1729,20,1709,557,879,84,31,1,0,0,2,215,2,2,0,14,3,34,12,,422,,8
BIZKAIA,2,913,ZIERBENA,1261,934,19,915,16,899,327,476,34,16,0,0,0,0,76,4,0,1,6,3,18,5,,258,,2
BIZKAIA,3,001,ABADIÑO,5846,3851,26,3825,27,3798,1995,1147,272,48,2,3,8,1,709,13,6,6,28,14,87,17,,1421,,16
BIZKAIA,3,003,AMOREBIETA-ETXANO,14175,9924,101,9823,70,9753,4251,4054,396,149,7,5,10,9,1423,29,11,12,77,74,232,75,,3152,,38
BIZKAIA,3,005,ARAKALDO,91,56,0,56,1,55,35,24,1,0,0,0,0,0,3,0,0,0,0,0,1,0,,26,,0
BIZKAIA,3,006,ARANTZAZU,287,248,1,247,4,243,39,117,3,0,0,0,0,0,2,1,0,0,1,0,0,1,,117,,1
BIZKAIA,3,009,ARRANKUDIAGA,763,610,2,608,4,604,153,283,18,7,0,0,0,0,14,0,1,0,0,3,0,0,,277,,1
BIZKAIA,3,011,ARRIGORRIAGA,9695,6373,51,6322,105,6217,3322,2413,389,127,12,3,8,4,1167,37,6,5,119,70,195,42,,1589,,31
BIZKAIA,3,015,BASAURI,34605,22013,174,21839,267,21572,12592,7557,2289,367,29,21,26,8,5971,104,34,42,427,122,696,135,,3627,,117
BIZKAIA,3,019,BERRIZ,3669,2455,25,2430,21,2409,1214,933,133,37,4,0,2,3,399,5,3,1,28,23,37,12,,779,,10
BIZKAIA,3,023,ARTEA,591,500,1,499,6,493,91,242,19,0,0,0,0,0,13,0,0,0,0,3,0,0,,215,,1
BIZKAIA,3,024,ZEANURI,1012,850,2,848,7,841,162,407,23,7,0,0,0,0,11,1,2,0,1,0,3,3,,379,,4
BIZKAIA,3,025,ZEBERIO,882,668,4,664,3,661,214,354,4,5,0,1,0,0,16,2,0,1,0,0,2,1,,273,,2
BIZKAIA,3,026,DIMA,1101,908,3,905,0,905,193,350,10,6,0,0,0,1,6,3,1,0,1,2,8,4,,511,,2
